First Last,Course,Total Students,A,B,C,D,F,Avg GPA,A-F Average,A-F Median,A-F Mode,A-F Standard Deviation,Rating,Difficulty,Would Take Again %,Course Name,Units,Description,Prerequisite,Corequisite,Graduate Eligibility
Allen Holliday,CPSC 131,71,13,22,23,5,8,2.4,2.4,2.25,3.5,1.25,,,,Data Structures,3,"Classical data structures: vector, linked list, stack, queue, binary search tree, and graph representations. Worst-case analysis, amortized analysis, and big-O notation. Object-oriented and recursive implementation of data structures. Self-resizing vectors and self-balancing trees. Empirical performance measurement. Typically Offered: Fall/Spring",CPSC 121 or sufficient score on the Computer Science Placement Exam.,,Undergraduate Course not available for Graduate Credit
Anand Panangadan,CPSC 131,64,14,27,13,5,5,2.64,2.64,3.0,3.0,1.16,4.9,3.2,100.0,Data Structures,3,"Classical data structures: vector, linked list, stack, queue, binary search tree, and graph representations. Worst-case analysis, amortized analysis, and big-O notation. Object-oriented and recursive implementation of data structures. Self-resizing vectors and self-balancing trees. Empirical performance measurement. Typically Offered: Fall/Spring",CPSC 121 or sufficient score on the Computer Science Placement Exam.,,Undergraduate Course not available for Graduate Credit
Anand Panangadan,CPSC 375,44,19,19,5,0,1,3.25,3.25,3.0,,0.84,4.9,3.2,100.0,Introduction to Data Science and Big Data,3,"Techniques for data preparation, exploratory analysis, statistical modeling, machine learning and visualization. Methods for analyzing different types of data, such as natural language and time-series, from emerging applications, including Internet-of-Things. Big data platforms. Projects with real-world data. Prerequisites: CPSC 131, MATH 338. Typically Offered: Fall/Spring/Summer",,,Undergraduate Course not available for Graduate Credit
Bach Ho,CPSC 315,64,25,34,4,1,0,3.3,3.3,3.15,3.0,0.56,,,,Professional Ethics in Computing,3,"Ethics and moral philosophy as applied to software and digital artifacts. Notions of rights, responsibilities, property, ownership, privacy, security, and professional ethics. Security obligations. Intellectual propertystatutes, licenses, and their terms. Oral and written reports are required. Prerequisites: CPSC 131; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. Typically Offered: Fall/Spring",,,Undergraduate Course not available for Graduate Credit
Beth Harnick-Shapiro,CPSC 315,38,6,24,8,0,0,2.95,2.95,3.0,3.0,0.61,3.2,3.7,52.381,Professional Ethics in Computing,3,"Ethics and moral philosophy as applied to software and digital artifacts. Notions of rights, responsibilities, property, ownership, privacy, security, and professional ethics. Security obligations. Intellectual propertystatutes, licenses, and their terms. Oral and written reports are required. Prerequisites: CPSC 131; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. Typically Offered: Fall/Spring",,,Undergraduate Course not available for Graduate Credit
Bijan Hamidi,CPSC 223J,71,30,26,12,1,2,3.14,3.14,3.5,3.5,0.96,,,,Java Programming,3,"Characteristics of Java: portable, robust, secure, object-oriented, high performance; using the Java environment; server administration; types, expressions and control flow; classes, interfaces and packages; threads; exceptions; class libraries; Java for the Internet; tools, the Java Virtual machine. (2 hours lecture, 2 hours lab per week) Typically Offered: Fall/Spring",CPSC 131.,,Undergraduate Course not available for Graduate Credit
Charlene Keeler,CPSC 311,25,2,19,3,0,1,2.83,2.83,3.0,3.0,0.73,,,,,,,,,
Charles Siska,CPSC 362,44,13,13,14,3,1,2.77,2.77,3.0,2.0,1.03,,,,Foundations of Software Engineering,3,"Basic concepts, principles, methods, techniques and practices of software engineering. All aspects of the software engineering fields. Use Computer-Aided Software Engineering (CASE) tools. Prerequisites: CPSC 131; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. Typically Offered: Fall/Spring/Summer",,,Undergraduate Course not available for Graduate Credit
David Falconer,CPSC 311,34,13,14,6,0,1,3.11,3.11,3.0,,0.92,,,,,,,,,
David Heckathorn,CPSC 254,45,34,10,0,0,1,3.69,3.69,4.0,4.0,0.7,4.7,1.1,96.7742,Software Development with Open Source Systems,3,"Philosophy of open source software development, open source operating systems such as Linux; open source development tools; open source programming languages, such as Python; open source software development processes; open source software licensing issues. (2 hours lecture, 2 hours laboratory) Prerequisites: CPSC 131; Computer Science or Computer Engineering major or minor. Typically Offered: Fall/Spring",,,Undergraduate Course not available for Graduate Credit
David Heckathorn,CPSC 332,38,18,16,2,2,0,3.25,3.25,3.3,3.7,0.74,4.7,1.1,96.7742,File Structures and Database Systems,3,"Fundamental theories and design of database systems, the Structured Query Language (SQL), basic concepts and techniques of data organization in secondary storage. Topics include introduction to database systems, ER model, relational model, index structures and hashing techniques. Prerequisites: CPSC 131; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. Typically Offered: Fall/Spring/Summer",,,Undergraduate Course not available for Graduate Credit
David Heckathorn,CPSC 351,46,26,14,5,1,0,3.33,3.33,3.7,4.0,0.73,4.7,1.1,96.7742,Operating Systems Concepts,3,"Resource management, memory organization, input/output, control process synchronization and other concepts as related to the objectives of multi-user operating systems. Typically Offered: Fall/Spring/Summer","CPSC 131, CPSC 240; or Computer Science or Computer Engineering graduate standing.",,Undergraduate Course not available for Graduate Credit
David McLaren,CPSC 131,23,5,11,2,0,5,2.48,2.48,3.0,3.0,1.44,,,,Data Structures,3,"Classical data structures: vector, linked list, stack, queue, binary search tree, and graph representations. Worst-case analysis, amortized analysis, and big-O notation. Object-oriented and recursive implementation of data structures. Self-resizing vectors and self-balancing trees. Empirical performance measurement. Typically Offered: Fall/Spring",CPSC 121 or sufficient score on the Computer Science Placement Exam.,,Undergraduate Course not available for Graduate Credit
Doina Bein,CPSC 335,38,26,7,4,0,1,3.41,3.41,3.7,4.0,0.88,4.3,3.5,72.4138,Algorithm Engineering,3,"Algorithm design using classical patterns: exhaustive search, divide and conquer, randomization, hashing, reduction, dynamic programming, and the greedy method. Asymptotic and experimental efficiency analysis. NP-completeness and decidability. Implementing algorithms to solve practical problems. Prerequisites: CPSC 131, MATH 170A, MATH 150A; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. Typically Offered: Fall/Spring/Summer",,,Undergraduate Course not available for Graduate Credit
Doina Bein,CPSC 439,34,16,16,2,0,0,3.29,3.29,3.3,3.7,0.56,4.3,3.5,72.4138,Theory of Computation,3,"Introduction to the theory of computation. Automata theory; finite state machines, context free grammars, and Turing machines; hierarchy of formal language classes. Computability theory and undecidable problems. Time complexity; P and NP-complete problems. Applications to software design and security. Prerequisites: CPSC 121 or MATH 320; MATH 170B or MATH 280; or Computer Science or Computer Engineering graduate standing. 400-level Undergraduate Course available for Graduate Credit Typically Offered: Fall/Spring",,,
Doina Bein,CPSC 474,29,19,8,2,0,0,3.48,3.48,3.7,3.7,0.56,4.3,3.5,72.4138,Parallel and Distributed Computing,3,Concepts of distributed computing; distributed memory and shared memory architectures; parallel programming techniques; inter-process communication and synchronization; programming for parallel architectures such as multi-core and GPU platforms; project involving distributed application development. Prerequisites: CPSC 351; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. 400-level Undergraduate Course available for Graduate Credit Typically Offered: Fall/Spring,,,
Eric May,CPSC 121,80,14,27,15,13,11,2.25,2.25,2.5,3.0,1.29,2.6,3.3,38.8889,Object-Oriented Programming,3,"The object-oriented programming paradigm: classes, member functions, interfaces, inheritance, polymorphism, and exceptions. Design practices including encapsulation, decoupling, and documentation. Pointers/references and memory management. Recursion. (2 hours lecture, 2 hours activity)",CPSC 120 or passing score on Computer Science Placement Exam.,,Undergraduate Course not available for Graduate Credit
Floyd Holliday,CPSC 223N,15,9,2,2,2,0,3.22,3.22,3.7,4.0,1.11,3.6,2.8,66.6667,Visual C# Programming,3,"Characteristics of C#, object-oriented design concepts, control structures, methods, arrays, classes, objects, inheritance, polymorphism, exception handling, graphical user interfaces, multithreading, characters, strings, files, streams. Rudiments of the Unified Modeling Language Software development assignments. (2 hours lecture, 2 hours laboratory) Typically Offered: Fall/Spring",CPSC 131.,,Undergraduate Course not available for Graduate Credit
Floyd Holliday,CPSC 253U,29,11,3,12,2,1,2.73,2.73,2.3,4.0,1.17,3.6,2.8,66.6667,,,,,,
Floyd Holliday,CPSC 254,28,7,5,6,6,4,2.08,2.08,2.0,4.0,1.4,3.6,2.8,66.6667,Software Development with Open Source Systems,3,"Philosophy of open source software development, open source operating systems such as Linux; open source development tools; open source programming languages, such as Python; open source software development processes; open source software licensing issues. (2 hours lecture, 2 hours laboratory) Prerequisites: CPSC 131; Computer Science or Computer Engineering major or minor. Typically Offered: Fall/Spring",,,Undergraduate Course not available for Graduate Credit
Hernan Manabat,CPSC 456,46,15,27,4,0,0,3.2,3.2,3.0,3.0,0.55,,,,Network Security Fundamentals,3,"Learn about vulnerabilities of network protocols, attacks targeting confidentiality, integrity and availability of data transmitted across networks, and methods for diagnosing and closing security gaps through hands-on exercises. Prerequisites: CPSC 351; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. 400-level Undergraduate Course available for Graduate Credit Typically Offered: Fall/Spring",,,
John Oates,CPSC 351,30,11,16,3,0,0,3.1,3.1,3.0,,0.62,4.6,2.4,100.0,Operating Systems Concepts,3,"Resource management, memory organization, input/output, control process synchronization and other concepts as related to the objectives of multi-user operating systems. Typically Offered: Fall/Spring/Summer","CPSC 131, CPSC 240; or Computer Science or Computer Engineering graduate standing.",,Undergraduate Course not available for Graduate Credit
Joseph Martinazzi,CPSC 313,90,44,30,15,0,1,3.29,3.29,3.25,4.0,0.82,,,,,,,,,
Justin Okun,CPSC 351,27,7,6,9,1,4,2.41,2.41,2.0,2.0,1.34,,,,Operating Systems Concepts,3,"Resource management, memory organization, input/output, control process synchronization and other concepts as related to the objectives of multi-user operating systems. Typically Offered: Fall/Spring/Summer","CPSC 131, CPSC 240; or Computer Science or Computer Engineering graduate standing.",,Undergraduate Course not available for Graduate Credit
Kenneth Kung,CPSC 440,49,13,16,19,1,0,2.84,2.84,3.0,2.0,0.85,,,,Computer System Architecture,3,"Computer performance, price/performance, instruction set design and examples. Processor design, pipelining, memory hierarchy design and input/output subsystems. Prerequisites: CPSC 240; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. 400-level Undergraduate Course available for Graduate Credit Typically Offered: Fall/Spring",,,
Kenytt Avery,CPSC 353,38,9,13,13,2,1,2.71,2.71,3.0,,0.98,3.5,4.0,56.8182,,,,,,
Kenytt Avery,CPSC 411,59,32,24,0,2,1,3.37,3.37,3.5,3.5,0.73,3.5,4.0,56.8182,Mobile Device Application Programming,3,"Introduction to developing applications for mobile devices, including but not limited to runtime environments, development tools and debugging tools used in creating applications for mobile devices. Use emulators in lab. Students must provide their own mobile devices. 400-level Undergraduate Course available for Graduate Credit Typically Offered: Fall/Spring/Summer",CPSC 131 or Computer Science or Computer Engineering graduate standing.,,
Kenytt Avery,CPSC 471,47,14,20,7,1,5,2.79,2.79,3.0,3.0,1.21,3.5,4.0,56.8182,Computer Communications,3,"Introduction to digital data communications. Terminology, networks and their components, common-carrier services, telecommunication facilities, terminals, error control, multiplexing and concentration techniques. Prerequisites: CPSC 351; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. 400-level Undergraduate Course available for Graduate Credit Typically Offered: Fall/Spring/Summer",,,
Kenytt Avery,CPSC 476,26,8,11,6,0,1,2.96,2.96,3.0,3.0,0.96,3.5,4.0,56.8182,,,,,,
Kevin Wortman,CPSC 305,29,17,6,6,0,0,3.38,3.38,4.0,4.0,0.82,4.1,3.2,70.5882,,,,,,
Kevin Wortman,CPSC 335,72,13,29,23,6,1,2.64,2.64,3.0,2.5,0.9,4.1,3.2,70.5882,Algorithm Engineering,3,"Algorithm design using classical patterns: exhaustive search, divide and conquer, randomization, hashing, reduction, dynamic programming, and the greedy method. Asymptotic and experimental efficiency analysis. NP-completeness and decidability. Implementing algorithms to solve practical problems. Prerequisites: CPSC 131, MATH 170A, MATH 150A; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. Typically Offered: Fall/Spring/Summer",,,Undergraduate Course not available for Graduate Credit
Laurence Bernstein,CPSC 335,25,5,10,8,0,2,2.64,2.64,3.0,2.0,1.08,,,,Algorithm Engineering,3,"Algorithm design using classical patterns: exhaustive search, divide and conquer, randomization, hashing, reduction, dynamic programming, and the greedy method. Asymptotic and experimental efficiency analysis. NP-completeness and decidability. Implementing algorithms to solve practical problems. Prerequisites: CPSC 131, MATH 170A, MATH 150A; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. Typically Offered: Fall/Spring/Summer",,,Undergraduate Course not available for Graduate Credit
Lidia Morrison,CPSC 362,32,7,25,0,0,0,3.29,3.29,3.3,3.0,0.36,3.6,1.5,76.9231,Foundations of Software Engineering,3,"Basic concepts, principles, methods, techniques and practices of software engineering. All aspects of the software engineering fields. Use Computer-Aided Software Engineering (CASE) tools. Prerequisites: CPSC 131; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. Typically Offered: Fall/Spring/Summer",,,Undergraduate Course not available for Graduate Credit
Lidia Morrison,CPSC 463,32,4,28,0,0,0,3.23,3.23,3.0,3.0,0.33,3.6,1.5,76.9231,Software Testing,3,"Software testing techniques, reporting problems effectively and planning testing projects. Students apply what they learned throughout the course to a sample application that is either commercially available or under development. Prerequisites: CPSC 362; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. 400-level Undergraduate Course available for Graduate Credit Typically Offered: Fall/Spring",,,
Mehdi Peiravi,CPSC 120,109,15,27,27,17,23,1.96,1.96,2.11,0.0,1.34,3.2,2.4,63.4146,Introduction to Programming,3,"Introduction to the concepts underlying all computer programming: design and execution of programs; sequential nature of programs; use of assignment, control and input/output statements to accomplish desired tasks; design and use of functions. Structured and object-oriented methodologies. (1.5 hours lecture, 3 hours laboratory)",,MATH 125.,Undergraduate Course not available for Graduate Credit
Mehdi Peiravi,CPSC 240,45,8,10,9,10,8,2.01,2.01,2.0,0.0,1.35,3.2,2.4,63.4146,Computer Organization and Assembly Language,3,"Digital logic and architecture of a computer system, machine level representation of data, memory system organization, structure of low-level computer languages. Machine, assembly, and macro language programming. Principles of assembler operation, input-output programming, interrupt/exception handling. Laboratory programming assignments. (2 hours lecture, 2 hours laboratory) Prerequisites: CPSC 131; MATH 170A or MATH 280; or graduate standing. Typically Offered: Fall/Spring",,,Undergraduate Course not available for Graduate Credit
Michael Falkow,CPSC 120,92,23,36,18,9,6,2.6,2.6,2.9,2.9,1.13,4.9,2.9,98.4375,Introduction to Programming,3,"Introduction to the concepts underlying all computer programming: design and execution of programs; sequential nature of programs; use of assignment, control and input/output statements to accomplish desired tasks; design and use of functions. Structured and object-oriented methodologies. (1.5 hours lecture, 3 hours laboratory)",,MATH 125.,Undergraduate Course not available for Graduate Credit
Michael Marcinkevicz,CPSC 471,38,37,0,1,0,0,3.94,3.94,4.0,4.0,0.33,,,,Computer Communications,3,"Introduction to digital data communications. Terminology, networks and their components, common-carrier services, telecommunication facilities, terminals, error control, multiplexing and concentration techniques. Prerequisites: CPSC 351; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. 400-level Undergraduate Course available for Graduate Credit Typically Offered: Fall/Spring/Summer",,,
Mikhail Gofman,CPSC 351,32,5,15,10,1,1,2.66,2.66,2.85,3.0,0.87,4.6,3.5,77.2727,Operating Systems Concepts,3,"Resource management, memory organization, input/output, control process synchronization and other concepts as related to the objectives of multi-user operating systems. Typically Offered: Fall/Spring/Summer","CPSC 131, CPSC 240; or Computer Science or Computer Engineering graduate standing.",,Undergraduate Course not available for Graduate Credit
Mikhail Gofman,CPSC 458,45,10,22,9,2,2,2.79,2.79,3.0,,0.98,4.6,3.5,77.2727,Malware Analysis,3,"Introduction to principles and practices of malware analysis. Topics include static and dynamic code analysis, data decoding, analysis tools, debugging, shellcode analysis, reverse engineering of stealthy malware and written presentation of analysis results. 400-level Undergraduate Course available for Graduate Credit Typically Offered: Fall/Spring",CPSC 351 or Computer Science or Computer Engineering graduate standing.,,
Mohamadreza Ahmadnia,CPSC 120,31,16,8,2,2,3,3.07,3.07,3.7,4.0,1.31,,,,Introduction to Programming,3,"Introduction to the concepts underlying all computer programming: design and execution of programs; sequential nature of programs; use of assignment, control and input/output statements to accomplish desired tasks; design and use of functions. Structured and object-oriented methodologies. (1.5 hours lecture, 3 hours laboratory)",,MATH 125.,Undergraduate Course not available for Graduate Credit
Mohamadreza Ahmadnia,CPSC 240,78,29,35,11,3,0,3.08,3.08,3.08,3.85,0.77,,,,Computer Organization and Assembly Language,3,"Digital logic and architecture of a computer system, machine level representation of data, memory system organization, structure of low-level computer languages. Machine, assembly, and macro language programming. Principles of assembler operation, input-output programming, interrupt/exception handling. Laboratory programming assignments. (2 hours lecture, 2 hours laboratory) Prerequisites: CPSC 131; MATH 170A or MATH 280; or graduate standing. Typically Offered: Fall/Spring",,,Undergraduate Course not available for Graduate Credit
Mohamadreza Ahmadnia,CPSC 323,37,6,13,18,0,0,2.55,2.55,2.7,1.7,0.8,,,,Compilers and Languages,3,"Basic concepts of programming languages and principles of translation. Topics include history of programming languages, various programming paradigms, language design issues and criteria, design of compilers for modern programming languages. Prerequisites: CPSC 131; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. Typically Offered: Fall/Spring/Summer",,,Undergraduate Course not available for Graduate Credit
Natalia Anderson,CPSC 121,14,5,4,3,2,0,2.67,2.67,3.0,4.0,1.1,,,,Object-Oriented Programming,3,"The object-oriented programming paradigm: classes, member functions, interfaces, inheritance, polymorphism, and exceptions. Design practices including encapsulation, decoupling, and documentation. Pointers/references and memory management. Recursion. (2 hours lecture, 2 hours activity)",CPSC 120 or passing score on Computer Science Placement Exam.,,Undergraduate Course not available for Graduate Credit
Ning Chen,CPSC 440,61,22,36,3,0,0,3.3,3.3,3.15,3.0,0.48,3.0,3.3,37.037,Computer System Architecture,3,"Computer performance, price/performance, instruction set design and examples. Processor design, pipelining, memory hierarchy design and input/output subsystems. Prerequisites: CPSC 240; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. 400-level Undergraduate Course available for Graduate Credit Typically Offered: Fall/Spring",,,
Patricia Parral,CPSC 311,63,11,38,14,0,0,2.94,2.94,3.0,3.0,0.62,,,,,,,,,
PaulSalvador Inventado,CPSC 121,55,20,7,9,2,17,2.18,2.18,2.5,2.0,1.66,,,,Object-Oriented Programming,3,"The object-oriented programming paradigm: classes, member functions, interfaces, inheritance, polymorphism, and exceptions. Design practices including encapsulation, decoupling, and documentation. Pointers/references and memory management. Recursion. (2 hours lecture, 2 hours activity)",CPSC 120 or passing score on Computer Science Placement Exam.,,Undergraduate Course not available for Graduate Credit
Pouya Radfar,CPSC 311,38,25,13,0,0,0,3.66,3.66,4.0,4.0,0.48,3.9,2.3,73.3333,,,,,,
Pouya Radfar,CPSC 313,128,44,47,26,11,0,2.88,2.88,3.0,3.5,0.95,3.9,2.3,73.3333,,,,,,
Pouya Radfar,CPSC 315,34,25,8,1,0,0,3.71,3.71,4.0,4.0,0.52,3.9,2.3,73.3333,Professional Ethics in Computing,3,"Ethics and moral philosophy as applied to software and digital artifacts. Notions of rights, responsibilities, property, ownership, privacy, security, and professional ethics. Security obligations. Intellectual propertystatutes, licenses, and their terms. Oral and written reports are required. Prerequisites: CPSC 131; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. Typically Offered: Fall/Spring",,,Undergraduate Course not available for Graduate Credit
Sara Ghadami,CPSC 120,54,14,25,13,2,0,2.95,2.95,3.0,3.35,0.74,,,,Introduction to Programming,3,"Introduction to the concepts underlying all computer programming: design and execution of programs; sequential nature of programs; use of assignment, control and input/output statements to accomplish desired tasks; design and use of functions. Structured and object-oriented methodologies. (1.5 hours lecture, 3 hours laboratory)",,MATH 125.,Undergraduate Course not available for Graduate Credit
Sara Ghadami,CPSC 313,88,48,31,7,0,2,3.28,3.28,3.6,4.0,0.81,,,,,,,,,
Sara Ghadami,CPSC 362,46,11,33,2,0,0,3.24,3.24,3.3,,0.42,,,,Foundations of Software Engineering,3,"Basic concepts, principles, methods, techniques and practices of software engineering. All aspects of the software engineering fields. Use Computer-Aided Software Engineering (CASE) tools. Prerequisites: CPSC 131; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. Typically Offered: Fall/Spring/Summer",,,Undergraduate Course not available for Graduate Credit
Sara Hariri,CPSC 313,42,20,14,5,3,0,3.14,3.14,3.0,4.0,0.92,,,,,,,,,
Shawn Wang,CPSC 332,85,17,28,37,3,0,2.72,2.72,2.75,2.0,0.82,2.6,3.3,37.037,File Structures and Database Systems,3,"Fundamental theories and design of database systems, the Structured Query Language (SQL), basic concepts and techniques of data organization in secondary storage. Topics include introduction to database systems, ER model, relational model, index structures and hashing techniques. Prerequisites: CPSC 131; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. Typically Offered: Fall/Spring/Summer",,,Undergraduate Course not available for Graduate Credit
Shohrat Geldiyev,CPSC 323,28,5,20,2,0,1,2.9,2.9,3.0,2.7,0.73,,,,Compilers and Languages,3,"Basic concepts of programming languages and principles of translation. Topics include history of programming languages, various programming paradigms, language design issues and criteria, design of compilers for modern programming languages. Prerequisites: CPSC 131; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. Typically Offered: Fall/Spring/Summer",,,Undergraduate Course not available for Graduate Credit
Shohrat Geldiyev,CPSC 332,33,17,11,4,0,1,3.18,3.18,3.7,3.7,0.8,,,,File Structures and Database Systems,3,"Fundamental theories and design of database systems, the Structured Query Language (SQL), basic concepts and techniques of data organization in secondary storage. Topics include introduction to database systems, ER model, relational model, index structures and hashing techniques. Prerequisites: CPSC 131; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. Typically Offered: Fall/Spring/Summer",,,Undergraduate Course not available for Graduate Credit
Son Nguyen,CPSC 464,29,7,21,1,0,0,3.21,3.21,3.0,3.0,0.49,4.1,3.2,81.8182,Software Architecture,3,"Basic principles and practices of software design and architecture. High-level design, software architecture, documenting software architecture, software and architecture evaluation, software product lines and some considerations beyond software architecture. Prerequisites: CPSC 362; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. 400-level Undergraduate Course available for Graduate Credit Typically Offered: Fall/Spring",,,
Song Choi,CPSC 323,62,12,26,24,0,0,2.81,2.81,2.8,2.65,0.7,,,,Compilers and Languages,3,"Basic concepts of programming languages and principles of translation. Topics include history of programming languages, various programming paradigms, language design issues and criteria, design of compilers for modern programming languages. Prerequisites: CPSC 131; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. Typically Offered: Fall/Spring/Summer",,,Undergraduate Course not available for Graduate Credit
Stephen May,CPSC 120,30,8,13,6,1,2,2.8,2.8,3.0,,1.11,,,,Introduction to Programming,3,"Introduction to the concepts underlying all computer programming: design and execution of programs; sequential nature of programs; use of assignment, control and input/output statements to accomplish desired tasks; design and use of functions. Structured and object-oriented methodologies. (1.5 hours lecture, 3 hours laboratory)",,MATH 125.,Undergraduate Course not available for Graduate Credit
Steven Silverman,CPSC 351,34,27,6,0,0,1,3.72,3.72,4.0,4.0,0.76,,,,Operating Systems Concepts,3,"Resource management, memory organization, input/output, control process synchronization and other concepts as related to the objectives of multi-user operating systems. Typically Offered: Fall/Spring/Summer","CPSC 131, CPSC 240; or Computer Science or Computer Engineering graduate standing.",,Undergraduate Course not available for Graduate Credit
Steven Silverman,CPSC 440,36,35,0,0,0,1,3.89,3.89,4.0,4.0,0.67,,,,Computer System Architecture,3,"Computer performance, price/performance, instruction set design and examples. Processor design, pipelining, memory hierarchy design and input/output subsystems. Prerequisites: CPSC 240; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. 400-level Undergraduate Course available for Graduate Credit Typically Offered: Fall/Spring",,,
Sylvan Shulman,CPSC 240,32,8,10,11,1,2,2.66,2.66,3.0,2.0,1.1,,,,Computer Organization and Assembly Language,3,"Digital logic and architecture of a computer system, machine level representation of data, memory system organization, structure of low-level computer languages. Machine, assembly, and macro language programming. Principles of assembler operation, input-output programming, interrupt/exception handling. Laboratory programming assignments. (2 hours lecture, 2 hours laboratory) Prerequisites: CPSC 131; MATH 170A or MATH 280; or graduate standing. Typically Offered: Fall/Spring",,,Undergraduate Course not available for Graduate Credit
Thomas Bettens,CPSC 120,58,20,18,8,2,10,2.66,2.66,3.08,2.0,1.3,2.4,4.3,31.8841,Introduction to Programming,3,"Introduction to the concepts underlying all computer programming: design and execution of programs; sequential nature of programs; use of assignment, control and input/output statements to accomplish desired tasks; design and use of functions. Structured and object-oriented methodologies. (1.5 hours lecture, 3 hours laboratory)",,MATH 125.,Undergraduate Course not available for Graduate Credit
Thomas Bettens,CPSC 462,63,35,25,0,2,1,3.45,3.45,3.5,4.0,0.66,2.4,4.3,31.8841,Software Design,3,"Concepts of software modeling, software process and some tools. Object-oriented analysis and design and Unified process. Some computer-aided software engineering (CASE) tools will be recommended to use for doing homework assignments. Prerequisites: CPSC 362; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. 400-level Undergraduate Course available for Graduate Credit Typically Offered: Fall/Spring",,,
Tseng-Ching Shen,CPSC 473,45,25,19,1,0,0,3.48,3.48,3.7,4.0,0.54,1.7,4.2,14.2857,,,,,,
William McCarthy,CPSC 131,70,15,19,12,5,19,2.08,2.08,2.5,,1.52,2.4,3.8,40.0,Data Structures,3,"Classical data structures: vector, linked list, stack, queue, binary search tree, and graph representations. Worst-case analysis, amortized analysis, and big-O notation. Object-oriented and recursive implementation of data structures. Self-resizing vectors and self-balancing trees. Empirical performance measurement. Typically Offered: Fall/Spring",CPSC 121 or sufficient score on the Computer Science Placement Exam.,,Undergraduate Course not available for Graduate Credit
William McCarthy,CPSC 386,60,22,32,1,0,5,3.11,3.11,3.0,3.5,1.06,2.4,3.8,40.0,Introduction to Game Design and Production,3,"Current and future technologies and market trends in game design and production. Game technologies, basic building tools for games and the process of game design, development and production. Prerequisites: CPSC 121; completion of G.E. Category B.4; or Computer Science or Computer Engineering graduate standing. Typically Offered: Fall/Spring/Summer",,,Undergraduate Course not available for Graduate Credit
Yun Tian,CPSC 454,60,28,30,2,0,0,3.46,3.46,3.5,3.3,0.42,1.7,3.7,16.2162,Cloud Computing and Security,3,"Cloud computing and cloud security, distributed computing, computer clusters, grid computing, virtual machines and virtualization, cloud computing platforms and deployment models, cloud programming and software environments, vulnerabilities and risks of cloud computing, cloud infrastructure protection, data privacy and protection. Prerequisites: CPSC 351, CPSC 253; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. 400-level Undergraduate Course available for Graduate Credit Typically Offered: Fall/Spring",,,
Yun Tian,CPSC 471,62,18,35,9,0,0,3.18,3.18,3.15,,0.57,1.7,3.7,16.2162,Computer Communications,3,"Introduction to digital data communications. Terminology, networks and their components, common-carrier services, telecommunication facilities, terminals, error control, multiplexing and concentration techniques. Prerequisites: CPSC 351; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. 400-level Undergraduate Course available for Graduate Credit Typically Offered: Fall/Spring/Summer",,,
